# line	state	text (newlines escaped as \n)
# line	state	text (newlines escaped as \n)
80	DO-NOT-WRAP	Syauth: ON
83	DO-NOT-WRAP	Syauth: OFF
110	DO-NOT-WRAP	Powered
204	DO-NOT-WRAP	ABSENT
728	DO-NOT-WRAP	LANG
728	DO-NOT-WRAP	LANGUAGE
728	DO-NOT-WRAP	LC_ALL
950	DO-NOT-WRAP	Tema: chiaro
950	DO-NOT-WRAP	Tema: scuro
1332	DO-NOT-WRAP	✓  Login e sblocco della sessione
201	wrapped	Servizio non disponibile
203	wrapped	Disattivato
208	wrapped	Telefono assente
225	wrapped	Non associato
227	wrapped	Telefono non connesso
351	wrapped	DeskUnlock disattivato
353	wrapped	Nessun telefono
356	wrapped	Lock screen non adattato
359	wrapped	Sblocco telefono non armato
361	wrapped	Riavvia DMS
550	TODO	Telefono trovato:
550	TODO	Telefono trovato: {}\\nVerifica il codice Bluetooth sul telefono.
550	TODO	Verifica il codice Bluetooth sul telefono.
577	wrapped	Associazione non completata.
848	TODO	QLabel[role="hint"] { color:
848	TODO	QLabel[role="hint"] { color: {}; }
123	REVIEW	Mai
210	REVIEW	NEAR
211	REVIEW	Intermedio
211	REVIEW	MID
212	REVIEW	FAR
212	REVIEW	Lontano
213	REVIEW	Sconosciuto
248	REVIEW	Telefono Android
252	REVIEW	Nessun dispositivo associato
252	REVIEW	Più telefoni associati
269	REVIEW	color: #63c174;font-size: 16px;
274	REVIEW	color: #8b929a;font-size: 16px;
292	REVIEW	Lock
292	REVIEW	LockScreenContent.qml
292	REVIEW	Modules
293	REVIEW	Pam.qml
389	REVIEW	color: #aeb4bc;
428	REVIEW	UnixProcessParameters
429	REVIEW	UnixProcessFlag
430	REVIEW	CreateNewSession
497	REVIEW	font-size: 18px; font-weight: 600;
503	REVIEW	font-size: 28px; font-weight: 700; letter-spacing: 3px;
701	REVIEW	SYAUTH_LOCALE_DIR
710	REVIEW	Automatica (lingua di sistema)
711	REVIEW	English
712	REVIEW	Italiano
762	REVIEW	XDG_CONFIG_HOME
828	REVIEW	Fusion
937	REVIEW	font-size: 11px;font-weight: 600;color: #aeb4bc;
1194	wrapped	Privacy: RSSI, baseline e stato restano locali; nessuna telemetria viene inviata.
1288	REVIEW	RSSI raw
1288	REVIEW	rssi raw
1289	REVIEW	RSSI filtered
1289	REVIEW	rssi filtered
1290	REVIEW	Baseline
1291	REVIEW	Delta
1292	REVIEW	Sample age
1292	REVIEW	sample age
1293	REVIEW	Proximity state
1293	REVIEW	proximity state
1294	REVIEW	Heartbeat age
1294	REVIEW	heartbeat age
1295	REVIEW	GATT ready
1296	REVIEW	Lock reason
1296	REVIEW	lock reason
1333	REVIEW	✓  Conferma biometrica sul telefono
1334	REVIEW	✓  Blocco automatico per allontanamento
1335	REVIEW	✓  Password Linux disponibile come fallback
1361	REVIEW	Associazione
1365	REVIEW	Ultimo sblocco
1376	REVIEW	Sblocco con impronta
1430	REVIEW	color: #e06c75;
1438	REVIEW	color: #63c174;
1464	REVIEW	color: #d5a14f;
1548	REVIEW	Disponibile
1550	REVIEW	Non disponibile
1624	REVIEW	Operazione completata.
1630	REVIEW	Operazione non riuscita.
1648	REVIEW	Controllo DeskUnlock
1654	REVIEW	Dissocia telefono
1656	REVIEW	Dissociare il telefono da DeskUnlock?\\n\\nNon potrà più autenticare o sbloccare questo computer.\\nLa password Linux resterà disponibile.\\n\\nIl normale pairing Bluetooth non verrà eliminato.
1684	REVIEW	Errore
1685	REVIEW	Dissociazione non riuscita.
1694	REVIEW	Errore sconosciuto.
1698	REVIEW	Dissociazione non riuscita
1705	REVIEW	Telefono dissociato
1707	REVIEW	Il telefono è stato dissociato da DeskUnlock.\\n\\nPuoi associarne un altro con "Associa telefono".
1758	REVIEW	DeskUnlock Settings
